"Name","Salary","Tm","Pos","GP","gf_60","ga_60","avg_shift","even_toi_sec","pp_toi_sec","sh_toi_sec"
"Nathan MacKinnon",16500000,"COL","C",82,10.6,11.5,58,1094,270,3
"Dougie Hamilton",12600000,"NJD","D",20,16,0,46,1143,100,13
"Alex Ovechkin",12500000,"WSH","LW",79,7.8,0,51,879,273,0
"Kirill Kaprizov",12500000,"MIN","LW",75,9.8,0,59,1042,249,2
"Seth Jones",12500000,"CHI","D",67,6.7,7.8,55,1206,191,131
"Alex Pietrangelo",12300000,"VEG","D",64,7.1,6.1,47,1104,143,166
"Adam Fox",12000000,"NYR","D",72,12,5.9,43,1100,212,93
"Aleksander Barkov",12000000,"FLA","C",73,9.6,5,60,848,210,119
"Timo Meier",12000000,"NJD","RW",69,9.2,0,35,913,141,0
"Erik Karlsson",11500000,"PIT","D",82,6.5,19.1,49,1236,210,9
"Roope Hintz",11500000,"DAL","LW",80,11.1,5.9,31,810,154,68
"Brayden Point",11250000,"TBL","C",81,11.5,0,46,981,219,1
"Matthew Tkachuk",11250000,"FLA","LW/RW",80,9.5,4.9,56,858,241,18
"Mikhail Sergachev",11050000,"TBL","D",34,11.5,7.5,48,1110,101,141
"Artemi Panarin",11000000,"NYR","LW",82,12.1,0,44,991,215,0
"Cale Makar",11000000,"COL","D",77,10.7,8.3,52,1089,244,152
"Connor McDavid",11000000,"EDM","C",76,13,11.8,53,1053,204,23
"Drew Doughty",11000000,"LAK","D",82,9,3.9,65,1219,194,133
"Mark Stone",11000000,"VEG","RW",56,6.9,6.1,41,845,223,95
"Brady Tkachuk",10500000,"OTT","LW",81,7.1,0,35,939,206,3
"Jonathan Huberdeau",10500000,"CGY","LW",81,8.7,0,43,879,163,2
"Darnell Nurse",10400000,"EDM","D",81,4.3,10.1,48,1101,62,149
"Elias Pettersson",10250000,"VAN","C",82,10.1,4.3,30,871,225,82
"Dylan Larkin",10000000,"DET","C",68,8.9,7.5,41,927,190,92
"Filip Forsberg",10000000,"NSH","C",82,9.5,0,43,920,212,0
"Jack Eichel",10000000,"VEG","C",63,8,5.3,45,877,235,117
"Jeff Skinner",10000000,"BUF","LW/C",74,7.5,0,38,802,155,2
"Jesper Bratt",10000000,"NJD","W",82,10.5,4.4,50,897,201,60
"Mika Zibanejad",10000000,"NYR","C",81,12.2,4.3,37,863,208,113
"Miro Heiskanen",10000000,"DAL","D",71,9.7,2.4,39,1233,197,41
"Morgan Rielly",10000000,"TOR","D",72,10.4,9.4,42,1228,158,36
"Nick Suzuki",10000000,"MTL","C",82,7.6,10.5,44,999,218,58
"Nikita Kucherov",10000000,"TBL","RW",81,11.5,0,46,1057,242,0
"Cole Caufield",9975000,"MTL","RW",82,7.9,0,48,949,215,0
"Johnny Gaudreau",9750000,"CBJ","LW",81,5.8,0,57,953,175,0
"J.T. Miller",9500000,"VAN","C",81,10.1,11.5,43,875,223,69
"Mikko Rantanen",9500000,"COL","RW",80,10.4,21.3,60,1096,275,2
"Mathew Barzal",9150000,"NYI","C",80,8.7,0,47,1020,186,1
"Patrik Laine",9100000,"CBJ","RW",18,4.6,0,52,740,172,0
"Andrei Svechnikov",9000000,"CAR","RW",59,11.8,0,37,868,149,1
"Jordan Kyrou",9000000,"STL","C",82,7.5,0,50,923,176,0
"Pierre-Luc Dubois",9000000,"LAK","LW",82,5.5,0,58,812,126,2
"Robert Thomas",9000000,"STL","C",82,7.7,10.1,49,956,193,108
"Roman Josi",9000000,"NSH","D",82,9.1,16.3,50,1216,231,29
"Sean Couturier",9000000,"PHI","C",74,5,3.6,37,855,145,68
"Vince Dunn",9000000,"SEA","D",59,8.6,0,54,1203,169,11
"Anders Lee",8950000,"NYI","LW",81,5.6,0,38,830,103,0
"Quinn Hughes",8600000,"VAN","D",82,9.7,6.1,41,1209,235,35
"Bo Horvat",8500000,"NYI","C",81,9.4,13.1,39,958,178,44
"Ivan Provorov",8500000,"CBJ","D",82,4.4,9.9,40,1070,90,168
"Jack Hughes",8500000,"NJD","C",62,10.7,0,46,1026,228,3
"Torey Krug",8500000,"STL","D",77,6.1,5.3,46,1071,175,70
"Tyler Seguin",8450000,"DAL","C",68,8,4.9,41,822,105,64
"Ryan McDonagh",8400000,"NSH","D",74,4.1,8.2,42,1076,59,171
"Anthony Cirelli",8125000,"TBL","C",79,8.5,5.6,35,895,85,130
"Kevin Fiala",8125000,"LAK","LW",82,9.3,0,55,891,188,1
"Travis Sanheim",8125000,"PHI","D",81,5.8,6.9,40,1174,91,161
"Brayden Schenn",8000000,"STL","C",82,6.6,6.8,48,863,152,51
"Brendan Gallagher",8000000,"MTL","RW",77,2.5,0,43,735,91,0
"Colton Parayko",8000000,"STL","D",82,5.9,8.5,42,1244,22,164
"Damon Severson",8000000,"CBJ","D",67,3.2,5.6,52,1125,67,76
"Hampus Lindholm",8000000,"BOS","D",73,8.2,7.7,31,1160,83,152
"Jacob Trouba",8000000,"NYR","D",69,2.3,5.5,40,1081,22,170
"Jared Spurgeon",8000000,"MIN","D",16,6.3,10,35,994,179,225
"Jason Robertson",8000000,"DAL","LW",82,10.3,0,46,932,166,0
"Jonas Brodin",8000000,"MIN","D",62,3.1,10.3,48,1184,37,180
"Josh Anderson",8000000,"MTL","RW",78,3.9,52.2,44,817,107,3
"Kris Letang",8000000,"PIT","D",82,3.4,6.4,43,1212,117,151
"Leon Draisaitl",8000000,"EDM","C",81,12.5,6.9,63,1006,203,31
"Logan Couture",8000000,"SJS","C",6,0,9.4,58,838,158,128
"Thomas Chabot",8000000,"OTT","D",51,6.2,0,44,1192,158,31
"Victor Hedman",8000000,"TBL","D",78,11.3,5.1,45,1136,208,143
"Auston Matthews",7950000,"TOR","C",81,10.4,3.1,54,1010,204,42
"John Tavares",7950000,"TOR","C",80,9.5,0,56,886,184,0
"Justin Faulk",7900000,"STL","D",60,6,5.2,43,1116,109,91
"Dmitry Orlov",7750000,"CAR","D",82,10.5,1.7,43,956,29,52
"Nico Hischier",7750000,"NJD","C",71,9.1,4.3,31,880,205,82
"Zach Hyman",7650000,"EDM","LW",80,12.2,14.2,66,971,195,3
"Cam Fowler",7500000,"ANA","D",81,7.6,12.1,56,1130,140,194
"Jeff Petry",7500000,"DET","D",73,0,8.9,35,1015,13,99
"Kyle Connor",7500000,"WPG","LW",65,8,0,38,974,200,8
"Neal Pionk",7500000,"WPG","D",82,5.3,9.5,35,1044,108,96
"Nick Schmaltz",7500000,"ARI","C",79,9,5.8,55,934,193,23
"T.J. Brodie",7500000,"TOR","D",78,0,9,41,1134,4,164
"Valeri Nichushkin",7500000,"COL","RW",54,11.5,9.8,39,939,232,109
"Taylor Hall",7250000,"CHI","LW",10,5.1,0,53,765,213,0
