"Name","Salary"
"Nathan MacKinnon ",16500000
"David Pastrnak ",13000000
"Dougie Hamilton ",12600000
"Alex Ovechkin ",12500000
"Kirill Kaprizov ",12500000
"Seth Jones ",12500000
"Alex Pietrangelo ",12300000
"Adam Fox ",12000000
"Aleksander Barkov ",12000000
"Timo Meier ",12000000
"Zachary Werenski ",12000000
"Erik Karlsson ",11500000
"Roope Hintz ",11500000
"Brayden Point ",11250000
"Matthew Tkachuk ",11250000
"Mikhail Sergachev ",11050000
"Artemi Panarin ",11000000
"Cale Makar ",11000000
"Charles Mcavoy ",11000000
"Connor McDavid ",11000000
NA,NA
"Drew Doughty ",11000000
"Mark Stone ",11000000
"Brady Tkachuk ",10500000
"Jonathan Huberdeau ",10500000
"Darnell Nurse ",10400000
"Elias Pettersson ",10250000
"Dylan Larkin ",10000000
"Filip Forsberg ",10000000
"Jack Eichel ",10000000
"Jeff Skinner ",10000000
"Jesper Bratt ",10000000
"Mika Zibanejad ",10000000
"Miro Heiskanen ",10000000
"Morgan Rielly ",10000000
"Nick Suzuki ",10000000
"Nicklas Backstrom ",10000000
"Nikita Kucherov ",10000000
"Sergei Bobrovsky ",10000000
"Cole Caufield ",9975000
"Johnny Gaudreau ",9750000
NA,NA
"J.T. Miller ",9500000
"Mikko Rantanen ",9500000
"Mathew Barzal ",9150000
"Patrik Laine ",9100000
"Andrei Svechnikov ",9000000
"Andrei Vasilevskiy ",9000000
"Gabriel Landeskog ",9000000
"Jordan Kyrou ",9000000
"Pierre-Luc Dubois ",9000000
"Robert Thomas ",9000000
"Roman Josi ",9000000
"Sean Couturier ",9000000
"Vince Dunn ",9000000
"Anders Lee ",8950000
"Quinn Hughes ",8600000
"Bo Horvat ",8500000
"Carey Price ",8500000
"Ivan Provorov ",8500000
"Jack Hughes ",8500000
"Torey Krug ",8500000
NA,NA
"Tyler Seguin ",8450000
"Ryan McDonagh ",8400000
"Alexander Debrincat ",8250000
"Anthony Cirelli ",8125000
"Kevin Fiala ",8125000
"Travis Sanheim ",8125000
"Brayden Schenn ",8000000
"Brendan Gallagher ",8000000
"Colton Parayko ",8000000
"Damon Severson ",8000000
"Hampus Lindholm ",8000000
"Jacob Markstrom ",8000000
"Jacob Trouba ",8000000
"Jared Spurgeon ",8000000
"Jason Robertson ",8000000
"Jonas Brodin ",8000000
"Josh Anderson ",8000000
"Joshua Morrissey ",8000000
"Kris Letang ",8000000
"Leon Draisaitl ",8000000
NA,NA
"Logan Couture ",8000000
"Matthew Boldy ",8000000
"Matthew Murray ",8000000
"Mitchell Marner ",8000000
"Thomas Chabot ",8000000
"Victor Hedman ",8000000
"Auston Matthews ",7950000
"John Tavares ",7950000
"Justin Faulk ",7900000
"Dmitry Orlov ",7750000
"Nico Hischier ",7750000
"Zach Hyman ",7650000
"Cam Fowler ",7500000
"Connor Hellebuyck ",7500000
"Jakub Voracek ",7500000
"Jeff Petry ",7500000
"Jordan Binnington ",7500000
"Kyle Connor ",7500000
"Neal Pionk ",7500000
"Nick Schmaltz ",7500000
NA,NA
"Phillip Grubauer ",7500000
"Ryan Ellis ",7500000
"T.J. Brodie ",7500000
"Valeri Nichushkin ",7500000
"Marc-Edouard Vlasic ",7250000
"Taylor Hall ",7250000
"Rasmus Dahlin ",7200000
"Tage Thompson ",7142857
"Dylan Cozens ",7100000
"Aaron Ekblad ",7000000
"Anze Kopitar ",7000000
"Claude Giroux ",7000000
"Igor Shesterkin ",7000000
"Ivan Barbashev ",7000000
"Nazem Kadri ",7000000
"Thatcher Demko ",7000000
"Troy Terry ",7000000
"Ondrej Palat ",6900000
"Pavel Buchnevich ",6900000
"Tristan Jarry ",6800000
NA,NA
"Erik Cernak ",6760000
"Phillip Danault ",6750000
"Brock Boeser ",6650000
"Dylan Strome ",6500000
"Jamie Benn ",6500000
"Josh Norris ",6500000
"Kevin Hayes ",6500000
"Mattias Ekholm ",6500000
"Michael Matheson ",6500000
"Nikolaj Ehlers ",6500000
"Sam Reinhart ",6500000
"Steven Stamkos ",6500000
"Vincent Trocheck ",6500000
"Vladislav Gavrikov ",6500000
"John Gibson ",6400000
"Sam Bennett ",6350000
"Alexander Killorn ",6250000
"Andre Burakovsky ",6250000
"Andrew Copp ",6250000
"MacKenzie Weegar ",6250000
NA,NA
"Ryan Nugent-Hopkins ",6250000
"Ryan Pulock ",6150000
"Thomas Wilson ",6100000
"Clayton Keller ",6000000
"Conor Garland ",6000000
"Darcy Kuemper ",6000000
"Elvis Merzlikins ",6000000
"Evgeni Malkin ",6000000
"Jamie Oleksiak ",6000000
"Jared McCann ",6000000
"Joel Eriksson Ek ",6000000
"John Carlson ",6000000
"Juuse Saros ",6000000
"Linus Ullmark ",6000000
"Mark Scheifele ",6000000
"Mikael Granlund ",6000000
"Rickard Rakell ",6000000
"Robin Lehner ",6000000
"Sebastian Aho ",6000000
"Travis Konecny ",6000000
NA,NA
"Tyler Myers ",6000000
"William Nylander ",6000000
"Blake Coleman ",5900000
"Devon Toews ",5900000
"Kevin Labanc ",5875000
"Teuvo Teravainen ",5875000
"Andrew Mangiapane ",5800000
"Connor Murphy ",5800000
"Adam Pelech ",5750000
"Adrian Kempe ",5750000
"Alec Martinez ",5750000
"Pavel Zacha ",5750000
"Ryan Graves ",5750000
"Trevor Zegras ",5750000
"Christian Dvorak ",5725000
"Brandon Carlo ",5700000
"Adin Hill ",5600000
"Brock Nelson ",5600000
"William Karlsson ",5600000
"Adam Larsson ",5500000
NA,NA
"Brandon Saad ",5500000
"Evander Kane ",5500000
"Filip Hronek ",5500000
"J.T Compher ",5500000
"Jaccob Slavin ",5500000
"Jaden Schwartz ",5500000
"Rasmus Ristolainen ",5500000
"Tyler Bertuzzi ",5500000
"Brady Skjei ",5400000
"Drake Batherson ",5400000
"Jakob Chychrun ",5400000
"Ilya Mikheyev ",5350000
"Mikael Backlund ",5350000
"Oliver Bjorkstrand ",5350000
"Cameron Atkinson ",5275000
"Ben Chiarot ",5250000
"Brandon Montour ",5250000
"Jakob Silfverberg ",5250000
"John Marino ",5250000
"Reilly Smith ",5250000
NA,NA
"Shea Theodore ",5200000
"David Perron ",5150000
"Bryan Rust ",5125000
"Barclay Goodrow ",5100000
"Yanni Gourde ",5100000
"Artturi Lehkonen ",5000000
"Brad Marchand ",5000000
"Brent Burns ",5000000
"Carter Verhaeghe ",5000000
"Chris Kreider ",5000000
"Esa Lindell ",5000000
"Josh Manson ",5000000
"Kyle Palmieri ",5000000
"Mats Zuccarello-Aasen ",5000000
"Mike Hoffman ",5000000
"Nick Jensen ",5000000
"Ryan O'Reilly ",5000000
"Ryan Strome ",5000000
"Samuel Girard ",5000000
"T.J. Oshie ",5000000
NA,NA
"Tim Stützle ",5000000
"Tyson Barrie ",5000000
"Nate Schmidt ",4950000
"Jake Oettinger ",4800000
"Joel Armia ",4800000
"Mason Marchment ",4800000
"Alex Tuch ",4750000
"Tyler Johnson ",4750000
"Victor Olofsson ",4750000
"Ville Husso ",4750000
"Lawson Crouse ",4600000
"Rasmus Andersson ",4550000
"Adam Lowry ",4500000
"Brent Seabrook ",4500000
"Charlie Coyle ",4500000
"Cody Ceci ",4500000
"Filip Chytil ",4500000
"Jean-Gabriel Pageau ",4500000
"Jesperi Kotkaniemi ",4500000
"Nick Leddy ",4500000
NA,NA
"Nikita Zaitsev ",4500000
"Trevor Moore ",4500000
"Carter Hart ",4479000
"Alex Iafallo ",4400000
"Petr Mrazek ",4400000
"Ryan Suter ",4300000
"Mattias Samuelsson ",4285714
"Andreas Athanasiou ",4250000
"Filip Gustavsson ",4250000
"Joel Farabee ",4250000
"Jonas Siegenthaler ",4250000
"Matthew Grzelcyk ",4250000
"Robby Fabbri ",4250000
"Tanner Pearson ",4250000
"Viktor Arvidsson ",4250000
"David Savard ",4200000
